forma_wlasnosci,rynek,czynsz,informacje_dodatkowe,rok_budowy,powierzchnia,okna,tytul,ogrzewanie,material_budynku,pietro,pokoje,opis_finalny,cena_za_metr,zdjecia,rodzaj_zabudowy,cena,stan_wykonczenia
 4 Maja 2018, wtórny, pełna własność,telewizja kablowa internet telefondomofon / wideofon monitoring / ochronazmywarka lodówka meble kuchenkapiwnica winda, do zamieszkania,38 m², plastikowe,"Bezpośrednio 38m2, 2-pokojowe, 5 piętro pl.Hallera", miejskie, cegła,5,2,"Do sprzedania kompleksowo wyremontowane, 2-pokojowe mieszkanie z kuchnią, łazienką i przedpokojem.·  Położone na 5 piętrze 6 piętrowej kamienicy. Sąsiadujący równolegle budynek jest oddalony o 85 metrów i oddzielony wysokimi drzewami co gwarantuje dużą ilość światła oraz przestrzeni za oknami a także całkowitą prywatność.·  Okna skierowane na południowy wschód w stronę cichego podwórka. Jednocześnie bezpośrednio po drugiej stronie budynku znajduje się Plac Hallera z terenami rekreacyjnymi, fontanną, placem zabaw oraz tężniami solankowymi.·  Kuchnia połączona harmonijnie z salonem, zachowująca swoją odrębność dzięki zastosowanej aranżacji.·  Wyposażenie AGD kuchni to płyta indukcyjna, okap, zabudowana zmywarka, lodówka·  Wszystkie sprzęty kuchenne oraz meble są nowe i objęte gwarancją.·  Na podłodze w salonie, kuchni i przedpokoju odnowiony parkiet, w drugim pokoju panele, w łazience płytki ceramiczne.·  Materiał ścian - cegła·  Do mieszkania przypisana jest piwnica·  Możliwość parkowania w podwórzu pod oknami mieszkania.·  Budynek z czystą, zadbaną klatką, wyposażony w windę.·  Czynsz 370zł (z zaliczkami za media)·  Mieszkanie własnościowe z czystą księgą wieczystą, sprzedawane bezpośrednio przez właściciela. Bardzo silnie rozwinięta infrastruktura: w obrębie 5 minut spacerem znajdują się  sklepy spożywcze (Biedronka, Carrefour, Stokrotka), cukiernia, kwiaciarnia, Rossman, bank, przychodnia i wiele innych. Bardzo dobra komunikacja: 3 minuty do tramwaju lub autobusu, którym w 5 minut dojedziemy do metra i Dworca Wileńskiego a w 15 minut na Stare Miasto. Kilkanaście minut spaceru wystarczy aby odwiedzić Miejski Ogród Zoologiczny lub przez Park Praski dostać się nad Wisłę. OFERTA BEZPOŚREDNIA – biura nieruchomości proszę o składanie propozycji współpracy tylko mailowo na adres ", 9 947 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/26141716_1_1280x1024_bezposrednio-38m2-2-pokojowe-5-pietro-plhallera-warszawa.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26141716_2_1280x1024_bezposrednio-38m2-2-pokojowe-5-pietro-plhallera-dodaj-zdjecia.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26141716_3_1280x1024_bezposrednio-38m2-2-pokojowe-5-pietro-plhallera-mieszkania.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26141716_5_1280x1024_bezposrednio-38m2-2-pokojowe-5-pietro-plhallera-mazowieckie.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26141716_4_1280x1024_bezposrednio-38m2-2-pokojowe-5-pietro-plhallera-sprzedaz.jpg", kamienica,378 000 zł, 370 zł
 spółdzielcze własnościowe, wtórny, 600 zł,telewizja kablowa internet telefondomofon / wideofon, 1987 ,61 m², plastikowe,Słoneczne z pięknym widokiem tuż przy Metrze, miejskie, inne,8,61 m²,"Przestronne mieszkanie położone na ostatnim piętrze ośmiopiętrowego budynku. Atutem lokalu jest niesamowity widok na panoramę Warszawy oraz doskonały rozkład pomieszczeń. Duży salon, dwie ustawne sypialnie, funkcjonalna kuchnia, łazienka i osobna toaleta. Wszystkie pokoje na planie kwadratu. Na piętrze tylko dwa lokale. Do dyspozycji piwnica oraz dzielona z sąsiadem komórka w zaanektowanym pomieszczeniu zsypowym gdzie umieszczono wieszaki na rowery i praktyczne półki. Osiedle zadbane z placami zabaw dla najmłodszych i pełne zieleni. W pobliżu budowana stacja metra, autobusy, tramwaje, szkoła, przedszkole, Bemowskie Centrum Kultury, kryte korty tenisowe, siłownia, sklepy. Wszystko co potrzebne do życia jest w zasięgu ręki. Grunty nie są uregulowane. Okazja dla klientów gotówkowych.Jasne przestronne mieszkanie z doskonałym widokiem na panoramę miasta. Z tego miejsca nie chce się wychodzić.Oferta dostępna tylko w Metrohouse. Metrohouse posiada  jeszcze 152 mieszkania 3-pokojowe w tej okolicy.", 7 213 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/26208976_1_1280x1024_sloneczne-z-pieknym-widokiem-tuz-przy-metrze-warszawa.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26208976_2_1280x1024_sloneczne-z-pieknym-widokiem-tuz-przy-metrze-dodaj-zdjecia.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26208976_3_1280x1024_sloneczne-z-pieknym-widokiem-tuz-przy-metrze-mieszkania.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26208976_4_1280x1024_sloneczne-z-pieknym-widokiem-tuz-przy-metrze-sprzedaz.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26208976_5_1280x1024_sloneczne-z-pieknym-widokiem-tuz-przy-metrze-mazowieckie.jpg", blok,440 000 zł, do zamieszkania
 pełna własność, wtórny, 1 100 zł,system alarmowy drzwi / okna antywłamaniowe teren zamknięty domofon / wideofonmeble kuchenka pralkabalkon piwnica garaż/miejsce parkingowe oddzielna kuchnia, 2000 ,109 m², drewniane,Spokojny Wilanów 109 m2, gazowe, cegła,parter,4,"Sprzedam bezpośrednio 4 - pokojowy apartament przy spokojnej ulicy na Starym Wilanowie. Mieszkanie jasne, dobrze doświetlone i ciche. Duży salon połączony jest z jadalnią i otwartym wejściem do kuchni. Ponadto 3 ustawne pokoje, duża łazienka i osobna toaleta (obecnie schowek). Mieszkanie rozkładowe z wyraźnie oddzieloną częścią sypialną od dziennej. Mała, kameralna inwestycja z początków lat 2000 z własnym ogrodem i zadbaną zielenią, otoczona głównie zabudową jednorodzinną. W budynku są dwie klatki i zaledwie 7 mieszkań. do mieszkania przynależy komórka lokatorska (w cenie mieszkania) oraz 2 miejsca postojowe w budynku, płatne dodatkowo 20 tys. każde. Blisko przedszkola, szkoły, sklepy, przychodnie, park wilanowski, dostęp do komunikacji miejskiej, dogodny dojazd do centrum. Proszę o telefony w godz. 10.00-20.00, dziękuję.", 9 633 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/25623992_1_1280x1024_spokojny-wilanow-109-m2-warszawa_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25623992_2_1280x1024_spokojny-wilanow-109-m2-dodaj-zdjecia_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25623992_3_1280x1024_spokojny-wilanow-109-m2-mieszkania_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25623992_4_1280x1024_spokojny-wilanow-109-m2-sprzedaz_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25623992_5_1280x1024_spokojny-wilanow-109-m2-mazowieckie_rev001.jpg", apartamentowiec,1 050 000 zł, do zamieszkania
 pełna własność, pierwotny, 350 zł,telewizja kablowa internet telefonsystem alarmowy teren zamknięty domofon / wideofon monitoring / ochronabalkon garaż/miejsce parkingowe winda oddzielna kuchnia, 2018 ,"49,40 m²", plastikowe,"Warszawa Wola, JANA KAZIMIERZA Mieszkanie 49,4 m2", miejskie, cegła,2,2,"Zabrania się kopiowania oferty pod rygorem prawnym. Nie współpracuję z biurami nieruchomości, proszę nie dzwonić !!  Do zaoferowania mam narożne , przestronne i dobrze doświetlone mieszkanie dwupokojowe,  o powierzchni 49,4m2. Położone na drugim piętrze siedmiopiętrowego bloku. Mieszkanie znajduję się w budynku STAR. Możliwość przerobienia mieszkania na trzy niezależne pokoje. Dużym atutem jest łazienka z oknem.  Nowy blok zostanie oddany do użytku w styczniu 2019  r.  Na osiedlu, w sąsiednim bloku znajduje się strefa ""Relaxu"" (siłownia i fitness) wyłącznie do dyspozycji mieszkańców.  Do mieszkania obowiązkowo przynależy garaż dodatkowo płatny 30 000 zł.  Niski czynsz 350 zł/mc. Osiedle położone jest przy dynamicznie rozwijającej się ulicy Jana Kazimierza w Warszawie (na Woli), zaledwie 2,5 kilometra od stacji metra Rondo Daszyńskiego, 4 kilometry od ścisłego centrum Warszawy. Oferuje swoim mieszkańcom sprawną komunikację (43 linie autobusowe i 10 tramwajowych), możliwość dokonania zakupów w sąsiadujących centrach handlowych (CH Klif, Fort Wola, Wola Park, Jupiter Centrum). Odpoczynek od codziennego zgiełku zapewnią liczne parki (Park Moczydło, Park im. Ks. Janusza, Park im. Gen. Sowińskiego, Park Powstańców, Park im. E. Szymańskiego) oraz tereny zielone. Place zabaw dla dzieci wyposażone w nowoczesne urządzenia, ścieżki rowerowe i alejki przeznaczone wyłącznie do biegania, dla osób lubiących aktywnie spędzać wolny czas", 8 400 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/23180215_6_1280x1024_warszawa-wola-jana-kazimierza-mieszkanie-494-m2-_rev009.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23180215_7_1280x1024_warszawa-wola-jana-kazimierza-mieszkanie-494-m2-_rev009.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23180215_2_1280x1024_warszawa-wola-jana-kazimierza-mieszkanie-494-m2-dodaj-zdjecia_rev009.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23180215_3_1280x1024_warszawa-wola-jana-kazimierza-mieszkanie-494-m2-mieszkania_rev009.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23180215_4_1280x1024_warszawa-wola-jana-kazimierza-mieszkanie-494-m2-sprzedaz_rev009.jpg", blok,414 960 zł, do wykończenia
 18 Kwietnia 2018, wtórny, spółdzielcze wł. z KW,drzwi / okna antywłamaniowe domofon / wideofon monitoring / ochronameble kuchenkabalkon piwnica winda, do zamieszkania,38 m², plastikowe,Mieszkanie o podwyższonym standardzie 38m2, miejskie, beton,7,2,"Sprzedam dwupokojowe mieszkanie 38 m2 o podwyższonym standardzie po generalnym remoncie. Położone na ul. Czerniakowskiej z bardzo dobrym dojazdem, ciche, od strony podwórza. Okna wychodzą na wschodnią stronę. Lokal znajduje się na 7 piętrze w bloku 10 piętrowym, w którym wymieniono wszystkie instalacje sanitarne, gazowe i elektryczne oraz grzejniki. Na ścianach położone gładzie gipsowe. Zostały wymienione drzwi wewnętrzne i zewnętrzne. Położono płytki w łazience i kuchni. Mieszkanie wyposażone w nowe meble kuchenne wykonane na zamówienie, na podłogach parkiet dębowy. Wszystkie urządzenia są nowe i nieużywane. Czysta klatka schodowa, nowe windy, czynsz 290 zł. Do mieszkania przynależy piwnica. Lokal z KW. Mieszkanie godne polecenia. Agencjom ZDECYDOWANIE dziękuję.", 9 868 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/25490536_2_1280x1024_mieszkanie-o-podwyzszonym-standardzie-38m2-dodaj-zdjecia.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25490536_3_1280x1024_mieszkanie-o-podwyzszonym-standardzie-38m2-mieszkania.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25490536_5_1280x1024_mieszkanie-o-podwyzszonym-standardzie-38m2-mazowieckie.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25490536_11_1280x1024_mieszkanie-o-podwyzszonym-standardzie-38m2-.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/25490536_1_1280x1024_mieszkanie-o-podwyzszonym-standardzie-38m2-warszawa.jpg", blok,375 000 zł, 290 zł
 spółdzielcze własnościowe, wtórny, 720 zł,telewizja kablowa internetdrzwi / okna antywłamaniowe domofon / wideofon monitoring / ochrona rolety antywłamaniowezmywarka lodówka meble piekarnik kuchenka telewizor pralkabalkon winda pom. użytkowe, 2005 ,76 m², plastikowe,Mieszkanie w dobrej lokalizacji z widokiem, miejskie, cegła,9,3,"Sprzedam mieszkanie na Grochowie z interesujacym widokiem (100m od Ronda Wiatraczna) w Al. Stanów Zjednoczonych 72.Mieszkanie o powierzchni 76m2, sklada sie salonu polaczonego z kuchnia, sypialni i pokoju do pracy (pierwotnie byly to dwa pokoje, ktore polaczylem w jeden - mozna wrocic do poprzedniego ukladu), garderoba, lazienka, totaleta, balkon oraz zamknieta loggia, ktora wykorzystuje jako ""schowek"".Mieszkanie interesujace ze wzgledu na bardzo dobra lokalizacje i komunikacje. Z okna widok na Stadion Narodowy i centrum miasta. Mieszkanie dobrze oswietlone (rano slonce w sypialni, potem w duzym pokoju... Calosc w dobrym stanie, ostatnio malowane wszystkie sciany oraz wymienione sprzety tj. pralka, zmywarka i lodowka. Na podlodze parkiet z drzewna egzotycznego (wymaga cyklinowania, jesli ktos chce aby byl perfect).Mieszkam tu 10 lat i bardzo sobie chwale, glownie ze wzgledu na widok oraz lokalizacje (wszedzie blisko, w bbudynku LuxMed, apteki, 3 piekarnie). Idealne pod wynajem lub jako inwestycja (czekamy na Metro). Forma wlasnosci to spoldzielcze-wlasnosciowe, ale mozna przeksztalcic w wlasnosciowe (koszt ok. 2000PLN).Na zdjeciach nie pokazalem garderoby, toalety, loggi - zapraszam do ogladania...Oferta bezposrednio od wlasciciela, agencjom chwilowo dziekuje. ", 8 158 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/26209412_1_1280x1024_mieszkanie-w-dobrej-lokalizacji-z-widokiem-warszawa_rev004.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209412_17_1280x1024_mieszkanie-w-dobrej-lokalizacji-z-widokiem-_rev004.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209412_11_1280x1024_mieszkanie-w-dobrej-lokalizacji-z-widokiem-_rev004.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209412_12_1280x1024_mieszkanie-w-dobrej-lokalizacji-z-widokiem-_rev004.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209412_9_1280x1024_mieszkanie-w-dobrej-lokalizacji-z-widokiem-_rev004.jpg", apartamentowiec,620 000 zł, do zamieszkania
 pełna własność, wtórny, 1 zł,internet telefonsystem alarmowy drzwi / okna antywłamaniowe teren zamknięty domofon / wideofon monitoring / ochrona rolety antywłamaniowezmywarka lodówka meble piekarnik kuchenkabalkon piwnica garaż/miejsce parkingowe taras pom. użytkowe, 2006 ,72 m², plastikowe,Sprzedam mieszkanie 3 pokojowe 72 m2 z garażem, kotłownia, cegła,parter,3,"Sprzedam mieszkanie ok 72 m2.Trzy pokoje.Kuchnia widna połączona z salonem ok 30 m2. Z salonu wyjście na duży taras ok 11 m2. Sypialnie mają po ok 12.5 m2, łazienka ok 6.5 m2. Korytarz z szafami ma ok 12 m2. Mieszkanie gustownie i starannie wykończone.W dużym pokoju na podłodze parkiet jesion. W kuchni na podłodze i na ścianach kamień polerowany.Kuchnia w zabudowie ze sprzętem AGD. (Jest instalacja pod płytę indukcyjną).W kuchni, na korytarzu i w łazience ogrzewanie podłogowe.W mieszkaniu znajduje się instalacja alarmowa z monitoringiem. W oknach są rolety zewnętrzne.Mieszkanie dwustronne, widne i nasłonecznione.  Budynek to apartamentowiec z 40 mieszkaniami w sąsiedztwie domków jednorodzinnych - Stare Włochy (okolice ul Popularnej, Kleszczowej).Budynek zamieszkały od 2006r. Teren ogrodzony z placem zabaw, terenem rekreacyjnym oraz miejscami parkingowym. Pod budynkiem jest garaż oraz komórki lokatorskie.Do mieszkania przynależy jedno miejsce parkingowe oraz dostęp do komórki.Zarówno mieszkanie jak i miejsce parkingowe posiadają księgi wieczyste. Każdy lokator posiada udział w gruncie. Grunt ma status własności.Budynek ma własną kotłownie. Mieszkanie środkowe, bardzo ciepłe.  Niskie opłaty miesięczne -  administacyjne150 zl + liczniki.Wszędzie blisko. Przystanki autobusowe ok 3 min. Szkoły/ przedszkola, sklepy parę min spacerkiem. Ok 7 min spacerkiem do pięknego parku Cietrzewia. W parku są trzy stawy z pomostami i ławeczkami.  Cena uwzględnia miejsce w garażu podziemnym. PolecamKontakt (pokaż numer) lub (pokaż numer)Możliwość wynajęcia długoterminowego w cenie 3000 zł + opłaty.", 9 444 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/26209256_1_1280x1024_sprzedam-mieszkanie-3-pokojowe-72-m2-z-garazem-warszawa.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209256_2_1280x1024_sprzedam-mieszkanie-3-pokojowe-72-m2-z-garazem-dodaj-zdjecia.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209256_3_1280x1024_sprzedam-mieszkanie-3-pokojowe-72-m2-z-garazem-mieszkania.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209256_4_1280x1024_sprzedam-mieszkanie-3-pokojowe-72-m2-z-garazem-sprzedaz.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209256_5_1280x1024_sprzedam-mieszkanie-3-pokojowe-72-m2-z-garazem-mazowieckie.jpg", apartamentowiec,680 000 zł, do zamieszkania
 spółdzielcze własnościowe, wtórny, 460 zł,telewizja kablowa internetteren zamknięty domofon / wideofon monitoring / ochronazmywarka lodówka meble piekarnik kuchenka pralkagaraż/miejsce parkingowe winda, 2013 ,37 m², plastikowe,Mieszkanie 37m2 Warszawa-Włochy ul.Szczęsna, miejskie, pustak,parter,2,"Witam,mam do sprzedania mieszkanie wybudowane w 2013r.Budynek 3 piętrowy z windą.Mieszkanie znajduję sie na parterze, okna na stronę południową. Pokój dzienny z aneksem kuchennym(15,37 m2)+ sypialnia(11,33 m2), łazienka(5,30 m2) i przedpokój(4,80 m2).Do mieszkania przynależy miejsce postojowe w garażu podziemnym (dodatkowo płatne 28000 zł ) do którego jest dostęp bezpośrednio z windy.Nieruchomość znajduje się na zamkniętym monitorowanym osiedlu.Na terenie jest plac zabaw dla dzieci.Mieszkanie jest w bardzo dobrym stanie, nie wymaga remontu, gotowe do zamieszkania.Pierkarnik, płyta kuchenna, zmywarka, lodówka są nowe, nie używane.W pobliżu znajduję sie przychodnia lekarska, przystanek autobusowy stacja PKP oraz sklep Lidl i Biedronka oraz wiele restauracji.Dostępne media: woda zimna, woda ciepła, prąd. Ogrzewanie centralne Odległość od centrum około 7.8kmW razie pytań proszę o kontakt telefoniczny.", 8 973 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/26209488_1_1280x1024_mieszkanie-37m2-warszawa-wlochy-ulszczesna-warszawa_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209488_2_1280x1024_mieszkanie-37m2-warszawa-wlochy-ulszczesna-dodaj-zdjecia_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209488_3_1280x1024_mieszkanie-37m2-warszawa-wlochy-ulszczesna-mieszkania_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209488_4_1280x1024_mieszkanie-37m2-warszawa-wlochy-ulszczesna-sprzedaz_rev001.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209488_1_184x138_mieszkanie-37m2-warszawa-wlochy-ulszczesna-warszawa_rev001.jpg", blok,332 000 zł, do zamieszkania
 pełna własność, wtórny, 475 zł,telewizja kablowadomofon / wideofon monitoring / ochronazmywarka meble piekarnik kuchenkabalkon piwnica winda oddzielna kuchnia, 1971 ,49 m², plastikowe,Klimatyczne 2 pokoje po remoncie na Saskiej Kępie, miejskie, wielka płyta,4,2,"49-metrowe mieszkanie usytuowane na Saskiej Kępie przy ul. Międzynarodowej. Mieszkanie po generalnym remoncie, którego realizacja przebiegła przy współpracy architekta.Wymienione wszystkie instalacje, grzejniki, drzwi wewnętrzne i zewnętrzne.Mieszkanie składa się z :- salonu (ok.23m2),- sypialni (ok.9m2),- kuchni (ok.9m2),- łazienki (ok.3m2),- przedpokoju (5m2),- balkonu (ok.1m2).Całość wykończona w sposób nowoczesny i funkcjonalny.Szafy w salonie dają dużo miejsca do przechowywania, a przy tym dobrze komponują się z całością mieszkania. Dodatkowo w salonie wygodny, tapicerowany narożnik, stolik i szafka tv.Biała, lakierowana i wygodna zabudowa w kuchni wykonana na zamówienie. Płyta gazowa, piekarnik, zmywarka firmy Whirlpool.W łazience wanna z podtynkowym prysznicem i deszczownicą oraz możliwością napełniania przez przelew. Składany parawan pozwala na bezpieczne korzystanie z funkcji prysznica. Nowoczesna armatura, lustra i miejsce do przechowywania są dobrym połączeniem estetyki i funkcjonalności.Mieszkanie jest ciche, jasne i bardzo ciepłe z widokiem na zieleń. Do mieszkania przynależy pomieszczenie piwniczne o powierzchni 2 m2. W bliskiej okolicy znajdują się liczne sklepy, przedszkole, szkoła podstawowa, boisko, plac zabaw, park Skaryszewski i liczne restauracje. Zielona okolica sprzyjająca wypoczynkowi, a jednocześnie dogodna komunikacja z centrum. Dojazd autobusem do przystanku Centrum 15 minut, do przystanku Metro Politechnika 8 minut .Mieszkanie gotowe do zamieszkania, dostępne od zaraz.Pełna własność z księgą wieczystą.Agencje prosimy o kontakt, w przypadku zainteresowanych klientów, oraz doliczenie własnej prowizji do ceny ofertowej.Tel. (pokaż numer)", 9 898 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/23424519_6_1280x1024_klimatyczne-2-pokoje-po-remoncie-na-saskiej-kepie-_rev025.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23424519_4_1280x1024_klimatyczne-2-pokoje-po-remoncie-na-saskiej-kepie-sprzedaz_rev025.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23424519_1_1280x1024_klimatyczne-2-pokoje-po-remoncie-na-saskiej-kepie-warszawa_rev025.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23424519_2_1280x1024_klimatyczne-2-pokoje-po-remoncie-na-saskiej-kepie-dodaj-zdjecia_rev025.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/23424519_3_1280x1024_klimatyczne-2-pokoje-po-remoncie-na-saskiej-kepie-mieszkania_rev025.jpg", blok,485 000 zł, do zamieszkania
 spółdzielcze własnościowe, wtórny, 590 zł,telewizja kablowa internet telefondrzwi / okna antywłamaniowe teren zamknięty domofon / wideofon monitoring / ochrona rolety antywłamaniowebalkon ogródek oddzielna kuchnia pom. użytkowe, 2001 ,"47,50 m²", plastikowe,"47,5 m2 (2 pok) - METRO - PRAGA - ul. BIAŁOSTOCKA", miejskie, cegła,parter,"47,50 m²","Do sprzedania bardzo ciche, bezpieczne, przestronne i zadbane 2 pok. (47,5 m2) mieszkanie - do wprowadzenia.Opis: 2-pok. mieszkanie (47,5 m2) na parterze (3-piętrowego budynku) przy ul. Białostockiej 48 (od strony patio). Pokoje są ustawne i bardzo widne z niezależnymi wejściami z przedpokoju.Rozkład pomieszczeń na zdjęciach.Wszystkie okna wychodzą na wewnętrzny dziedziniec, do którego mają dostęp wyłącznie mieszkańcy. Z salonu wyjście na taras z którego jest zejście na dziedziniec (foto). Powierzchnia pomieszczeń:- 7,8 m2 kuchnia niezależna- 4,0 m2 łazienka- 10,3 m2 sypialnia- 19,1 m2 salon- 6,3 m2 przedpokójKuchnia wyposażona w niezbędny sprzęt (meble, kuchenka gazowa z piekarnikiem el., okap, lodówka), pełne wyposażenie łazienki (plus pralka), zabudowana szafa w przedpokoju.Drzwi antywłamaniowe. Domofon, całodobowa ochrona, monitoring, bardzo spokojni sąsiedzi, zieleń przy domu, drzewa. Okna plastikowe z zamontowanymi roletami antywłamaniowymi.Do mieszkania przynależy komórka lokatorska (ok. 4 m2) - na poziomie garażu podziemnego.Remont - 5 lat temu (malowanie, cyklinowanie). Mieszkanie spółdzielcze-własnościowe bez KW. Grunty uregulowane – można założyć KW.Dodatkowe informacje:Osiedle jest doskonale skomunikowane z centrum miasta - 10-12 minut spacerem  do stacji - Metro Dworzec Wileński, dodatkowo tramwaj, autobus, SKM-ka.Okolica:W pobliżu centra handlowe - m.in. Galeria Wileńska, bazarki, świetnie zaopatrzone sklepy. Mnóstwo klimatycznych kawiarni przy ulicy Ząbkowskiej, nowoczesne Muzeum Pragi przy Targowej, kino Praha oraz dzikie plaże nad Wisłą.OFERTA BEZPOŚREDNIA - BEZ PROWIZJI.Polecam.tel. (pokaż numer)TEKA-ART NIERUCHOMOŚCI", 8 947 zł/m²,"https://otodompl-imagestmp.akamaized.net/images_otodompl/26209444_1_1280x1024_475-m2-2-pok-metro-praga-ul-bialostocka-warszawa.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209444_2_1280x1024_475-m2-2-pok-metro-praga-ul-bialostocka-dodaj-zdjecia.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209444_3_1280x1024_475-m2-2-pok-metro-praga-ul-bialostocka-mieszkania.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209444_4_1280x1024_475-m2-2-pok-metro-praga-ul-bialostocka-sprzedaz.jpg,https://otodompl-imagestmp.akamaized.net/images_otodompl/26209444_5_1280x1024_475-m2-2-pok-metro-praga-ul-bialostocka-mazowieckie.jpg", blok,425 000 zł, do zamieszkania
